year,month,SPEI9
1994,9,-0.983304972
1994,10,-0.945206466
1994,11,-0.936091933
1994,12,-0.944164169
1995,1,-1.032481983
1995,2,-0.829793951
1995,3,-1.038588742
1995,4,-0.731733982
1995,5,-0.353773663
1995,6,-0.237709784
1995,7,-0.335976732
1995,8,-0.47288161
1995,9,-0.404476932
1995,10,-0.40635877
1995,11,-0.371429996
1995,12,-0.372968163
1996,1,-0.406311562
1996,2,-0.333476318
1996,3,-0.303923595
1996,4,-0.225358054
1996,5,-0.289671997
1996,6,-0.220435938
1996,7,-0.343944649
1996,8,-0.490437042
1996,9,-0.447297879
1996,10,-0.458714539
1996,11,-0.431946408
1996,12,-0.432950421
1997,1,-0.466962893
1997,2,-0.399060683
1997,3,-0.37382651
1997,4,-0.302501329
1997,5,-0.369070204
1997,6,-0.256876517
1997,7,-0.355487125
1997,8,-0.492730534
1997,9,-0.454882888
1997,10,-0.476211908
1997,11,-0.455526778
1997,12,-0.464668877
1998,1,-0.506900871
1998,2,-0.445845518
1998,3,-0.428235826
1998,4,-0.375250915
1998,5,-0.453742042
1998,6,-0.314255902
1998,7,-0.384881732
1998,8,-0.504600804
1998,9,-0.446919917
1998,10,-0.45838221
1998,11,-0.431946408
1998,12,-0.432950421
1999,1,-0.466962893
1999,2,-0.411629518
1999,3,-0.493706865
1999,4,-0.726674577
1999,5,-0.668675922
1999,6,0.078628339
1999,7,0.647192135
1999,8,0.972131744
1999,9,1.018417616
1999,10,0.980706688
1999,11,0.905572866
1999,12,1.0304245
2000,1,1.320653923
2000,2,1.268034664
2000,3,1.009462237
2000,4,0.682051366
2000,5,1.512092706
2000,6,1.411584926
2000,7,1.086584403
2000,8,0.662986941
2000,9,0.477104452
2000,10,0.578940409
2000,11,0.516196321
2000,12,0.528369897
2001,1,0.542455502
2001,2,-0.23858158
2001,3,-0.6956041
2001,4,-1.015634517
2001,5,0.040071719
2001,6,1.280459451
2001,7,1.012434928
2001,8,1.438760283
2001,9,1.616391701
2001,10,1.748254296
2001,11,2.065380881
2001,12,2.159099584
2002,1,2.27264117
2002,2,1.823236023
2002,3,1.222437907
2002,4,1.306350022
2002,5,1.63679699
2002,6,1.279565085
2002,7,1.425314065
2002,8,0.873126414
2002,9,0.439965568
2002,10,0.118157881
2002,11,0.36159513
2002,12,0.366460814
2003,1,0.428243523
2003,2,0.156964844
2003,3,-0.055982699
2003,4,-0.839960631
2003,5,-1.269721268
2003,6,1.098815499
2003,7,1.364354445
2003,8,1.09973529
2003,9,0.874762295
2003,10,0.868189164
2003,11,0.786504247
2003,12,0.960326863
2004,1,0.963012225
2004,2,1.234909138
2004,3,-0.085376482
2004,4,0.200964043
2004,5,-0.262494452
2004,6,0.591630718
2004,7,0.571562329
2004,8,0.43510666
2004,9,1.682039469
2004,10,1.737768866
2004,11,1.632147756
2004,12,1.662984901
2005,1,1.436095966
2005,2,1.632384517
2005,3,1.48846509
2005,4,1.62484025
2005,5,1.512246146
2005,6,-0.807106858
2005,7,-0.841515216
2005,8,1.181281077
2005,9,0.633663096
2005,10,1.297827559
2005,11,1.232853725
2005,12,1.120686622
2006,1,1.075794184
2006,2,1.451820363
2006,3,1.788248724
2006,4,1.748290862
2006,5,1.031750879
2006,6,0.999187908
2006,7,-0.433306056
2006,8,-0.927437444
2006,9,-0.316433263
2006,10,-0.459066112
2006,11,-0.48157442
2006,12,-0.411834864
2007,1,-0.356757312
2007,2,-0.76515909
2007,3,-0.629815021
2007,4,-0.36820859
2007,5,0.381471595
2007,6,-0.296225122
2007,7,0.560438465
2007,8,0.288041472
2007,9,1.047576896
2007,10,1.233911196
2007,11,1.249449449
2007,12,1.284669575
2008,1,1.375539207
2008,2,1.456903943
2008,3,1.545115963
2008,4,1.115890815
2008,5,1.282316164
2008,6,0.64593708
2008,7,1.385677251
2008,8,0.741338124
2008,9,0.536124356
2008,10,0.631343184
2008,11,0.498148757
2008,12,0.474877038
2009,1,0.686250399
2009,2,0.892316497
2009,3,0.66981682
2009,4,-0.64445796
2009,5,-0.597079616
2009,6,-1.34178855
2009,7,-1.198868478
2009,8,-0.471030074
2009,9,-0.444819086
2009,10,-0.259165651
2009,11,-0.255289194
2009,12,-0.204667799
2010,1,-0.217795125
